SPECIE,STRAIN,HOST
H. sp.,A82,wild bird
H. sp.,WB40,wild bird
H. valdiviensis,WBE14,wild bird
Candidatus H. avistercoris,CHK158-8274,chicken
Candidatus H. Avicola,14449,chicken
H. pullorum,CCUG 33837,chicken
H. pullorum,CCUG 33837,chicken
H. pullorum,2013BJHL,chicken
H. pullorum,NCTC13154,chicken
H. pullorum,NAP8W25,chicken
H. pullorum,NAP3W17,chicken
H. pullorum,NAP11B31,chicken
H. pullorum,NAP2W5,chicken
H. pullorum,NAP10B8,chicken
H. pullorum,NAP5W19,chicken
H. pullorum,NAP12B32,chicken
H. pullorum,NAP14B36,chicken
H. pullorum,NAP13B35,chicken
H. pullorum,NAP6W24,chicken
H. pullorum,NAP1W4,chicken
H. pullorum,4899,Poultry
H. pullorum,35818_8,Poultry
H. pullorum,35818_9,Poultry
H. kayseriensis,faydin-H17,Magpie
H. anatolicus,faydin-H10,Magpie
H. sp.,faydin-H23,Magpie
H. anatolicus,faydin-20,Magpie
H. sp.,106649,Sparrow
H. sp.,106648,Sparrow
H. anseris,MIT 04-9362,Goose
H. brantae,MIT 04-9366,Goose
H. anatolicus,faydin-H8,Crow
H. pamentensis,95149_7,Common tern
H. pametensis,95149_6,Common tern
